"P","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","25","26","27","28","29","30","31","32"
1,1.67,1.67,1.67,2,2,1.67,1.33,1.33,1.33,1.33,1.67,1.33,1.33,3,1.33,3,2.67,3,2.67,2.33,2,2,2.5,1.33,1,1.33,1.33,1.33,2,1.67,2.33
2,1.67,1.67,1.67,2,2,1.67,1.33,1.33,1.33,1.33,1.67,1.33,1.33,3,1.33,3,3,3,3,2.67,1.67,2,2.17,2,1.67,1.33,1.33,1.33,2,1.67,2
3,1.33,1.67,1.67,1.67,1.67,1.33,1,1,1.33,1.33,1.33,1.33,1.33,2.33,1,3,2.67,2.67,2.67,2.67,1.33,1.67,2.33,2,2,1.33,1.33,1.33,2,1.33,2
4,2.33,2.67,2.67,2,2.33,2,2,2,2.33,2.33,2.33,2,2,2.67,1.33,3,2.33,3,3,2.67,2,1,2.5,1.33,1.33,1,1,1,1.67,1,1.67
5,2.33,2.67,2.67,2.67,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.67,2.67,1.67,3,2.67,2.67,2.67,2.67,2.33,2.33,2.83,1,1,1,1,1,1,1,2
6,1.67,2,2,2,2,2,0.67,0.67,0.67,0.67,0.33,0.33,0.33,2,0.67,2.67,2.67,2.33,2,2,0.67,1,0.83,1.67,1.67,0.33,0.33,0.33,0.33,1.67,0.67
7,1.33,1.33,1.33,1.33,1.33,1.33,0.67,1,1,1,1,1,1,1,1,1.33,1.33,1.33,1,0.67,0.67,0.67,0.67,1,1,0.67,0.67,0.67,1,1.33,0.67
8,1.67,1.67,1.67,1.67,1.33,1,0.67,1,0.67,0.67,1.33,0.33,0.33,2,0.33,2.33,2.33,2,0.67,1,1.33,2,0.67,2.33,2.33,0.67,0.67,0.67,1,1,1
9,2,2,2,2,2,2,2,2,2,2,2,2,2,1.67,1.33,1.67,1.33,2,2,2,2,2.67,2.33,1.33,1.33,1.67,1.67,1.67,1.67,1.67,2
